model,auc_pr,f1,precision,recall,roc_auc
Logistic Regression + SMOTE,0.6823 ± 0.0073,0.6247 ± 0.0027,0.5870 ± 0.0065,0.6676 ± 0.0049,0.8437 ± 0.0064
XGBoost + SMOTE,0.7212 ± 0.0061,0.7009 ± 0.0061,0.9950 ± 0.0014,0.5410 ± 0.0071,0.8452 ± 0.0034
XGBoost + scale_pos_weight (10),0.7226 ± 0.0059,0.6189 ± 0.0034,0.5460 ± 0.0034,0.7142 ± 0.0059,0.8463 ± 0.0041
