param_clf__C,mean_test_score,std_test_score,rank_test_score,model,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators
0.1,0.7526613091299014,0.024247238420383968,1,logreg_smote,,,
1.0,0.7521030708972541,0.024756202687551677,2,logreg_smote,,,
10.0,0.7516815249043476,0.024770457267014136,3,logreg_smote,,,
,0.8521647327870134,0.02237463904188185,1,xgb_smote,0.2,6.0,400.0
,0.8514135858592596,0.02235970490253209,2,xgb_smote,0.2,6.0,200.0
,0.8454932616525741,0.018858910870474633,3,xgb_smote,0.05,6.0,400.0
,0.8340144033201513,0.024173587560047536,4,xgb_smote,0.2,3.0,400.0
,0.8234543155864943,0.00962559386190881,5,xgb_smote,0.05,6.0,200.0
,0.8214138811584953,0.029951674158832726,6,xgb_smote,0.2,3.0,200.0
,0.8157570095421592,0.014413337183456148,7,xgb_smote,0.05,3.0,400.0
,0.7665695371698308,0.017033390159375793,8,xgb_smote,0.05,3.0,200.0
,0.8535095987726065,0.01979564104815176,1,xgb_weighted,0.05,6.0,400.0
,0.8478984179519541,0.022135876094679388,2,xgb_weighted,0.2,6.0,400.0
,0.8474626555547872,0.02407295981861757,3,xgb_weighted,0.2,6.0,200.0
,0.8459173955360481,0.015973756778694552,4,xgb_weighted,0.2,3.0,200.0
,0.8449739307862485,0.017032807694586566,5,xgb_weighted,0.2,3.0,400.0
,0.8416722056117725,0.0181754916108492,6,xgb_weighted,0.05,6.0,200.0
,0.8248107408246931,0.019381774276943497,7,xgb_weighted,0.05,3.0,400.0
,0.7556662908940489,0.020734299882449275,8,xgb_weighted,0.05,3.0,200.0
